UID,census year,total 0-4 years,change between censuses 0-4 years,total 5-9 years,total 10-14 years,total 5-14 years,change between censuses 5-14 years,total 15-19 years,total 20-24 years,total 15-24 years,change between censuses 15-24 years,total 25-29 years,total 30-34 years,total 25-34 years,change between censuses 25-34 years,total 35-39 years,total 40-44 years,total 35-44 years,change between censuses 35-44 years,Total 45-49 years,total 50-54 years,total 45-54 years,change between censuses 45-54 years,total 55-59 years,total 60-64 years,total 55-64 years,change between censuses 55-64 years,total 65 and over,change between censuses 65 and over,total males,total females,total persons,total change between censuses,comments,source,Column 37
11,1976,6333,-409,6022,6857,12879,-2586,8135,8979,17114,562,7800,5632,13432,2155,4746,4854,9600,-1548,5854,6000,11854,-265,5013,4264,9277,1034,8274,996,43361,45402,88763,,Census taken 30 June 1976.,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2104.01976?OpenDocument,
12,1981,5451,-882,5664,5824,11488,-1391,7377,9671,17048,-66,8080,7033,15113,1681,5326,4743,10069,469,4769,5576,10345,-1509,5540,4291,9831,554,9603,1329,43461,45487,88948,,Census taken 30 June 1981. last category 75+,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2103.01981?OpenDocument,
13,1986,5628,177,,,10503,-985,6371,8675,15046,-2002,,,16037,924,,,12077,2008,,,9251,-1094,5029,4822,9851,20,10859,1256,43386,45866,89252,,Census taken 30 June 1986. Last category aged 70 or more,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2102.01986?OpenDocument,
14,1991,5803,154,,,10188,-315,5994,7768,13762,-1284,,,16570,533,,,13691,1614,,,9498,247,,,8473,-1378,12212,1353,43814,46383,90197,,Census taken 30 June 1991. Last category total 65 and over,https://www.abs.gov.au/AUSSTATS/abs@.nsf/DetailsPage/2101.01991?OpenDocument,
15,1996,5814,32,5522,5093,10615,427,5331,7073,12404,-1358,7701,8524,16225,-345,7927,6780,14707,1016,6243,4700,10943,1445,4015,3595,7610,-863,13465,1253,44336,47447,91783,,Census taken 30 June 1996.,https://www.abs.gov.au/websitedbs/censushome.nsf/home/historicaldata1996?opendocument,
16,2001,5604,-210,5436,5138,10574,-41,5737,7180,12917,513,7534,8018,15552,-673,8116,7358,15474,767,6472,5943,12415,1472,4428,3703,8131,521,13576,111,45469,48774,94243,,Census taken 30 June 2001.,https://www.abs.gov.au/census/find-census-data/search-by-area,
17,2006,5596,-8,5370,5207,10577,3,5509,8341,13850,933,7306,7619,14925,-627,7564,7649,15213,-261,6946,6139,13085,670,5595,4014,9609,1478,14093,517,46779,50169,96948,,Census taken 30 June 2006.,https://www.abs.gov.au/census/find-census-data/community-profiles/2006/LGA16700,
18,2011,6363,767,5551,5203,10754,177,5579,8931,14510,660,8562,8308,16870,1945,8026,7242,15268,55,7182,6570,13752,667,5743,5099,10842,1233,14681,588,50061,52979,103040,,Census taken 30 June 2011.,https://www.abs.gov.au/census/find-census-data/community-profiles/2011/LGA16700,
19,2016,7118,755,6441,5405,11846,1092,6142,9595,15737,1227,10537,10643,21180,4310,9214,7942,17156,1888,7285,7166,14451,699,6480,5737,12217,1375,16600,1919,56509,59791,116302,,Census taken 30 June 2016.,https://www.abs.gov.au/census/find-census-data/search-by-area,
20,2021,7267,149,7416,6283,13699,1853,5895,8607,14502,-1235,10938,12783,23721,2541,11908,9359,21267,4111,7907,7329,15236,785,7308,6680,13988,1771,19439,2839,63042,66080,129123,,Census taken 30 June 2021.,https://www.abs.gov.au/census/find-census-data/community-profiles/2021/LGA16700,
